Symbol,Name,Sector,Industry
000500,가온전선,INDUSTRIAL,"전력선,통신케이블 제조,도매,수출입"
192410,감마누,COMMUNICATION,기지국 안테나 및 인빌딩 안테나
000860,강남제비스코,MATERIALS,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매"
217730,강스템바이오텍,MATERIALS,줄기세포치료제
114190,강원,INDUSTRIAL,플랜트설비(산업용 보일러)
035250,강원랜드,CD,"카지노,관광호텔,골프장,스키장,체육시설 운영"
094480,갤럭시아머니트리,IT,전자결제
011420,갤럭시아에스엠,CD,"스포츠중계권,스포츠마케팅,광고"
063080,게임빌,IT,모바일게임
044480,경남바이오파마,MATERIALS,"콘돔,고무골무,의료용 장갑"
039240,경남스틸,MATERIALS,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등"
053950,경남제약,HEALTH,PCB 드릴가공
223310,경남제약헬스케어,IT,"블랙박스, 내비게이션, 로봇청소기, 드론"
002100,경농,MATERIALS,"완제농약(잡초약,살충제,살균제) 제조"
009450,경동나비엔,CD,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매"
267290,경동도시가스,UTILITY,도시가스
012320,경동인베스트,FINANCIAL,지주회사
011040,경동제약,HEALTH,"로사졸정, 시사프렌정, 디로핀정, 타론정.주"
000050,경방,CD,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입"
214390,경보제약,MATERIALS,"아토르바스타틴, 세프티족심, 세프트리약손"
012610,경인양행,MATERIALS,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입"
009140,경인전자,IT,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매"
024910,경창산업,INDUSTRIAL,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
013580,계룡건설,INDUSTRIAL,"건축공사,주택공사,토목공사,포장공사,전기공사"
012200,계양전기,INDUSTRIAL,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조"
002140,고려산업,CS,"배합사료,플라스틱용기 제조/부동산 임대"
198440,고려시멘트,MATERIALS,"시멘트, 레미콘"
049720,고려신용정보,OTHER,"채권추심, 신용조사"
010130,고려아연,MATERIALS,"연,아연괴 제조,판매"
002240,고려제강,MATERIALS,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매"
014570,고려제약,HEALTH,"하벤(종합감기약),뉴로메드(치매치료제)등 70여종"
348150,고바이오랩,OTHER,마이크로바이옴 치료제 및 건강기능식품
098460,고영,INDUSTRIAL,전자제품및반도체생산용 3차원 납도포검사장비
038530,골드퍼시픽,OTHER,"주문형반도체, IMT-2000 Modem Chip 등"
900280,골든센츄리,FINANCIAL,트랙터용 휠 및 타이어
215000,골프존,IT,골프시뮬레이터
121440,골프존뉴딘홀딩스,OTHER,골프시뮬레이터
183410,골프존데카,INDUSTRIAL,골프거리측정기
076340,관악산업,INDUSTRIAL,"수중공사, 준설공사 등"
009290,광동제약,HEALTH,"의약품,식음료 제조,도매"
014200,광림,INDUSTRIAL,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체"
017040,광명전기,INDUSTRIAL,"수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역"
017900,광전자,IT,"트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매"
037710,광주신세계,CD,백화점
026910,광진실업,MATERIALS,마봉
090150,광진윈텍,INDUSTRIAL,시트히터
355150,교보10호스팩,FINANCIAL,기업 인수 및 합병
307280,교보8호스팩,FINANCIAL,기업인수합병
331520,교보9호스팩,FINANCIAL,기업인수합병
030610,교보증권,FINANCIAL,"유가증권 매매,중개,대리,인수"
339770,교촌에프앤비,CS,치킨 프랜차이즈
329050,구스앤홈,OTHER,"구스 다운 침구류(이불, 베개, 커버류 등)"
053270,구영테크,INDUSTRIAL,엔진 브라켓(Engine Bracket) 등
007690,국도화학,MATERIALS,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매"
005320,국동,OTHER,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대"
001140,국보,INDUSTRIAL,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역"
066620,국보디자인,OTHER,인테리어디자인
043650,국순당,CS,탁주 및 약주
006050,국영지앤엠,INDUSTRIAL,강화유리
060480,국일신동,MATERIALS,황동봉
078130,국일제지,MATERIALS,"산업용 및 가정용 지류(강판간지, 다공지 등)"
307750,국전약품,HEALTH,기업 인수 및 합병
002720,국제약품,HEALTH,"항생제,안약,제약 제조,도매"
243870,굿센,IT,"건설ERP, 공공클라우드"
204020,그리티,OTHER,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
083420,그린케미칼,MATERIALS,"비이온계면활성제 제조,도매"
186230,그린플러스,MATERIALS,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품"
014530,극동유화,ENERGY,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
900070,글로벌에스엠,FINANCIAL,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)"
204620,글로벌텍스프리,FINANCIAL,환급창구운영사업
019660,글로본,OTHER,벤처캐피탈
032860,글로스퍼랩스,INDUSTRIAL,철스크랩
014280,금강공업,MATERIALS,"건설가설재,강관,거푸집 제조,판매"
053260,금강철강,MATERIALS,"냉연압연강판, 산세코일"
008870,금비,INDUSTRIAL,"유리제품(주류병) 제조/화장품 도소매,수입(병제조기기)"
001570,금양,MATERIALS,"발포제,사카린,OPTSA,베나졸,TCA 제조"
002990,금호산업,INDUSTRIAL,"종합건설/여객운송,관광/부동산 임대,분양"
011780,금호석유,MATERIALS,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매"
214330,금호에이치티,INDUSTRIAL,자동차용 전구 및 LED모듈
001210,금호전기,INDUSTRIAL,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매"
073240,금호타이어,MATERIALS,"타이어,튜브 제조,도매,무역"
036190,금화피에스시,INDUSTRIAL,"설비,철물,전기,강구조물"
049080,기가레인,INDUSTRIAL,RF통신부품 및 반도체 장비
035460,기산텔레콤,COMMUNICATION,"광모듈, 에코 켄슬러, 중계기, VoIP Server등"
092440,기신정기,INDUSTRIAL,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역"
