Symbol,Name,Industry,Sector
MAT,Mattel Inc,장난감 및 어린이 제품,CD
FRPT,Freshpet Inc,식품 가공,CD
CVLT,Commvault Systems Inc,소프트웨어,IT
BILI,Bilibili Inc ADR,온라인 서비스,IT
BOKF,BOK Financial Corp,은행,FINANCIAL
CFLT,Confluent Inc,소프트웨어,IT
ETSY,ETSY Inc,백화점,CD
SAIC,Science Applications International Corp,IT 서비스 및 컨설팅,IT
AAL,American Airlines Group Inc,항공사,INDUSTRIAL
HQY,Healthequity Inc,소프트웨어,IT
NOVT,Novanta Inc,전자 장비 및 부품,IT
BZ,Kanzhun Ltd ADR,고용 서비스,CS
TEM,Tempus AI Inc,생명 공학 및 의학 연구,HEALTH
CWST,Casella Waste Systems Inc,환경 서비스 및 장비,INDUSTRIAL
NSIT,Insight Enterprises Inc,컴퓨터 하드웨어,IT
CYTK,Cytokinetics Inc,생명 공학 및 의학 연구,HEALTH
TLN,Talen Energy Corp,민자 발전 사업,UTILITY
RCM,R1 RCM Inc,의료 시설 및 서비스,HEALTH
LFUS,Littelfuse Inc,전자 장비 및 부품,IT
NXT,Nextracker Inc,재생 가능 에너지 장비 및 서비스,ENERGY
CHX,ChampionX Corp,오일 관련 서비스 및 장비,ENERGY
LSCC,Lattice Semiconductor Corp,반도체,IT
BPMC,Blueprint Medicines Corp,생명 공학 및 의학 연구,HEALTH
VRNS,Varonis Systems Inc,소프트웨어,IT
RRR,Red Rock Resorts Inc,카지노 및 도박,CD
ALAB,Astera Labs Inc,반도체,IT
ONB,Old National Bancorp,은행,FINANCIAL
NXST,Nexstar Media Group Inc,방송,COMMUNICATION
VKTX,Viking Therapeutics Inc,생명 공학 및 의학 연구,HEALTH
AUR,Aurora Innovation Inc,소프트웨어,IT
CACC,Credit Acceptance Corp,소비자 대출,FINANCIAL
OLLI,Ollie's Bargain Outlet Holdings Inc,할인점,CD
EXLS,Exlservice Holdings Inc,경영 지원 서비스,CS
PEGA,Pegasystems Inc,소프트웨어,IT
SRCL,Stericycle Inc,환경 서비스 및 장비,INDUSTRIAL
VERX,Vertex Inc,소프트웨어,IT
COOP,Mr Cooper Group Inc,소비자 대출,FINANCIAL
BCPC,Balchem Corp,특수 화학제,MATERIALS
MDGL,Madrigal Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
GLBE,Global-E Online Ltd,온라인 서비스,IT
ASTS,AST SpaceMobile Inc,무선 통신 서비스,COMMUNICATION
SATS,EchoStar Corp,무선 통신 서비스,COMMUNICATION
LANC,Lancaster Colony Corp,식품 가공,CD
NVMI,Nova Ltd,반도체,IT
EXPO,Exponent Inc,경영 지원 서비스,CS
MMSI,Merit Medical Systems Inc,"의료 장비, 물품 및 유통",HEALTH
NWS,News Corp Class B,소비자 출판,CD
SIGI,Selective Insurance Group Inc,손해보험,FINANCIAL
STEP,StepStone Group Inc,투자 관리 및 펀드 운영,FINANCIAL
FRHC,Freedom Holding Corp,투자 은행 및 중개 서비스,FINANCIAL
ACT,Enact Holdings Inc,손해보험,FINANCIAL
FCFS,Firstcash Holdings Inc,소비자 대출,FINANCIAL
BECN,Beacon Roofing Supply Inc,건설 자재 및 비품,MATERIALS
KRYS,Krystal Biotech Inc,생명 공학 및 의학 연구,HEALTH
BWIN,Baldwin Insurance Group Inc,복합보험 및 중개인,FINANCIAL
OPCH,Option Care Health Inc,의료 시설 및 서비스,HEALTH
CRVL,CorVel Corp,의료 시설 및 서비스,HEALTH
FFIN,First Financial Bankshares Inc,은행,FINANCIAL
DJT,Trump Media & Technology Group Corp,투자 지주 회사,FINANCIAL
TMDX,Transmedics Group Inc,첨단 의료 장비 및 기술,HEALTH
ESGR,Enstar Group Ltd,재보험,FINANCIAL
DOOO,BRP Inc,오락용 제품,CD
COLB,Columbia Banking System Inc,은행,FINANCIAL
TENB,Tenable Holdings Inc,소프트웨어,IT
XRAY,DENTSPLY SIRONA Inc,"의료 장비, 물품 및 유통",HEALTH
UBSI,United Bankshares Inc,은행,FINANCIAL
ACIW,ACI Worldwide Inc,핀테크,FINANCIAL
COLM,Columbia Sportswear Co,의류 및 액세서리,CD
AVAV,AeroVironment Inc,항공우주 및 방위,INDUSTRIAL
NVEI,Nuvei Corp,경영 지원 서비스,CS
CSWI,CSW Industrials Inc,건설 및 엔지니어링,INDUSTRIAL
MARA,Marathon Digital Holdings Inc,블록 체인 및 암호화폐,FINANCIAL
OZK,Bank Ozk,은행,FINANCIAL
